name,lines
Rithala,Red
Inderlok,Red;Green
Netaji Subhash Place,Red;Pink
Welcome,Red
Kashmere Gate,Red;Yellow;Violet
Samaypur Badli,Yellow
Azadpur,Yellow;Pink
New Delhi,Yellow;Airport Express
Rajiv Chowk,Yellow;Blue
Central Secretariat,Yellow;Violet
Dilli Haat - INA,Yellow;Pink
Hauz Khas,Yellow;Magenta
Huda City Centre,Yellow
Dwarka Sector 21,Blue;Airport Express
Rajouri Garden,Blue;Pink
Mayur Vihar - I,Blue;Pink
Mandi House,Blue;Violet
Botanical Garden,Blue;Magenta
Janakpuri West,Blue;Magenta
Vaishali,Blue
Shaheed Sthal (New Bus Adda),Red
Shiv Vihar,Pink
Majlis Park,Pink
Lajpat Nagar,Violet;Pink
Badarpur Border,Violet
Kirti Nagar,Green;Blue
Najafgarh,Grey
IGI Airport,Airport Express